total_value,neighborhood,area,year,deposit,rent,elavator,parking,warehouse
2000900000.0, ولنجک ,270,1399,2000000000.0,30000000.0,1,1,1
200120000.0, کوی فردوس ,70,1387,200000000.0,4000000.0,0,1,1
350255000.0, پونک ,120,1395,350000000.0,8500000.0,1,1,1
200300000.0, هروی ,110,1395,200000000.0,10000000.0,1,1,1
200180000.0, پونک ,80,1387,200000000.0,6000000.0,1,1,1
300000000.0, جنت‌آباد جنوبی ,60,1395,300000000.0,0.0,1,1,1
60210000.0, جنت‌آباد جنوبی ,95,1386,60000000.0,7000000.0,0,1,1
200180000.0, ستارخان ,100,1399,200000000.0,6000000.0,1,1,1
400360000.0, سعادت‌آباد ,180,1387,400000000.0,12000000.0,1,1,1
2800000000.0, سعادت‌آباد ,250,1399,2800000000.0,0.0,1,1,1
70084000.0, تهرانپارس شرقی ,70,1390,70000000.0,2800000.0,1,0,1
0.0, اختیاریه ,110,1396,0.0,0.0,1,1,1
0.0, فرمانیه ,500,1395,0.0,0.0,1,1,1
0.0, اقدسیه ,360,1399,0.0,0.0,1,1,1
80090000.0, سلسبیل ,50,1399,80000000.0,3000000.0,1,1,1
2700000000.0, الهیه ,320,1387,2700000000.0,0.0,1,1,1
220195000.0, ظفر ,140,1380,220000000.0,6500000.0,1,1,1
500690000.0, پاسداران ,240,1390,500000000.0,23000000.0,1,1,1
0.0, پاسداران ,130,1396,0.0,0.0,1,1,1
100135000.0, میرداماد ,40,1392,100000000.0,4500000.0,1,0,1
1600003000.0, سعادت‌آباد ,165,1390,1600000000.0,100000.0,1,1,1
500870000.0, سعادت‌آباد ,220,1388,500000000.0,29000000.0,1,1,1
2001500000.0, دروس ,350,1397,2000000000.0,50000000.0,1,1,1
1200000000.0, پاسداران ,167,1380,1200000000.0,0.0,0,1,1
400900000.0, زعفرانیه ,200,1380,400000000.0,30000000.0,1,1,1
50135000.0, نواب ,90,1385,50000000.0,4500000.0,0,1,1
800270000.0, سعادت‌آباد ,120,1389,800000000.0,9000000.0,1,1,1
450330000.0, سعادت‌آباد ,130,1390,450000000.0,11000000.0,1,1,1
1001800000.0, نیاوران ,200,1399,1000000000.0,60000000.0,1,1,1
1150000000.0, سوهانک ,160,1391,1150000000.0,0.0,1,1,1
300540000.0, قیطریه ,150,1399,300000000.0,18000000.0,1,1,1
150495000.0, قیطریه ,115,1384,150000000.0,16500000.0,1,1,1
250000000.0, هفت چنار ,85,1396,250000000.0,0.0,1,1,1
0.0, فرمانیه ,210,1387,0.0,0.0,1,1,1
200540000.0, محمودیه ,160,1387,200000000.0,18000000.0,1,1,1
0.0, شاهین ,168,1399,0.0,0.0,1,1,1
300060000.0, نارمک ,110,1375,300000000.0,2000000.0,0,1,1
50141000.0, ظفر ,55,1393,50000000.0,4700000.0,1,0,1
50030000.0, مبارک‌آباد بهشتی ,65,1397,50000000.0,1000000.0,1,1,1
0.0, پونک ,118,1399,0.0,0.0,1,1,1
40135000.0, کوی فردوس ,65,1387,40000000.0,4500000.0,1,1,1
0.0, فرمانیه ,350,1399,0.0,0.0,1,1,1
470000000.0, پونک ,95,1386,470000000.0,0.0,1,1,1
300345000.0, امیرآباد ,127,1398,300000000.0,11500000.0,1,1,1
200030000.0, مینا ,100,1380,200000000.0,1000000.0,0,1,1
200510000.0, جردن ,155,1388,200000000.0,17000000.0,1,1,1
30.09, شاهین ,60,1380,30.0,3.0,0,0,1
0.0, دروس ,175,1390,0.0,0.0,1,1,1
650000000.0, گیشا (کوی نصر) ,95,1395,650000000.0,0.0,1,1,1
55165000.0, دریاچه شهدای خلیج فارس ,80,1390,55000000.0,5500000.0,1,1,1
200165000.0, حکیمیه ,105,1397,200000000.0,5500000.0,1,1,1
520000000.0, پونک ,138,1388,520000000.0,0.0,0,1,1
800750000.0, پاسداران ,155,1399,800000000.0,25000000.0,1,1,1
0.0, اقدسیه ,200,1399,0.0,0.0,1,1,1
300135000.0, هروی ,100,1385,300000000.0,4500000.0,1,1,1
300240000.0, قلهک ,117,1397,300000000.0,8000000.0,1,1,1
220315000.0, قلهک ,116,1393,220000000.0,10500000.0,1,1,1
380000000.0, شهر زیبا ,100,1385,380000000.0,0.0,0,1,1
135003000.0, افسریه ,75,1383,135000000.0,100000.0,0,0,1
130090000.0, سلسبیل ,75,1396,130000000.0,3000000.0,1,0,1
0.0, نیاوران ,160,1399,0.0,0.0,1,1,1
3000000000.0, اقدسیه ,310,1399,3000000000.0,0.0,1,1,1
100090000.0, گرگان ,70,1393,100000000.0,3000000.0,1,1,1
0.0, جی ,35,1382,0.0,0.0,0,0,1
2700000000.0, اقدسیه ,250,1395,2700000000.0,0.0,1,1,1
120270000.0, فرمانیه ,80,1385,120000000.0,9000000.0,1,1,1
500750000.0, سعادت‌آباد ,190,1390,500000000.0,25000000.0,1,1,1
150135000.0, شهر زیبا ,85,1389,150000000.0,4500000.0,0,1,1
500000000.0, پونک ,70,1398,500000000.0,0.0,1,1,1
1100000000.0, شهرک غرب ,120,1390,1100000000.0,0.0,1,1,1
670000000.0, نارمک ,125,1397,670000000.0,0.0,1,1,1
450165000.0, پونک ,120,1395,450000000.0,5500000.0,1,1,1
300360000.0, هروی ,150,1397,300000000.0,12000000.0,1,1,1
200450000.0, مرزداران ,108,1399,200000000.0,15000000.0,1,1,1
850000000.0, پاسداران ,100,1398,850000000.0,0.0,1,1,1
