Month,Price
139501,4089000
139502,4287000
139503,4328000
139504,4350000
139505,4391000
139506,4335000
139507,4370000
139508,4410000
139509,4429000
139510,4493000
139511,4502000
139512,4567000
139601,4267700
139602,4435000
139603,4465600
139604,4521900
139605,4566200
139606,4650000
139607,4692100
139608,4792900
139609,4982100
139610,5124700
139611,5384900
139612,5638600
139701,5528000
139702,5978000
139703,6510000
139704,6973000
139705,7399900
139706,8095700
139707,8510000
139708,9179400
139709,9554700
139710,9797300
139711,9967200
139712,10901126
139801,11269100
139802,12672500
139803,13299700
139804,13351200
139805,13025900
139806,12667700
139807,12715700
139808,12463700
139809,13525700
139810,13882700
139811,14397000
139812,15658800
139901,15295900
139902,16972700
139903,19071900
139904,20986100
139905,23107800
139906,24288100
139907,26720000
139908,27193100
139909,26905500
139910,27386000
139911,28398100
139912,30274700
